creator,base_model_count,total_derivatives,avg_downloads
MaziyarPanahi,301,349,126.13621262458472
Hachipo,88,89,1.3977272727272727
Qwen,69,13241,438801.50724637683
MinaMila,66,139,0.5303030303030303
Undi95,61,319,404.75409836065575
netcat420,53,118,3.8867924528301887
jondurbin,53,160,969.7547169811321
ibm-granite,51,503,8381.745098039215
unsloth,46,1373,4303.913043478261
nvidia,45,444,38438.444444444445
deepseek-ai,42,2918,233374.80952380953
AMindToThink,42,42,3.0238095238095237
microsoft,40,2049,194325.925
CompassioninMachineLearning,40,87,10.35
RylanSchaeffer,39,39,1.794871794871795
OpenBuddy,39,111,1471.8461538461538
xw17,39,39,0.28205128205128205
migtissera,38,166,2025.2894736842106
NousResearch,38,644,14816.394736842105
tiiuae,35,349,13235.828571428572
EleutherAI,34,1226,134623.82352941178
Locutusque,34,108,198.97058823529412
Muadil,33,37,0.5757575757575758
tomaszki,33,74,1.5151515151515151
internlm,33,204,7068.727272727273
tokyotech-llm,32,184,2158.25
Weyaxi,32,51,973.21875
NeverSleep,32,283,440.875
meta-llama,30,8900,669009.4
zai-org,29,421,88590.20689655172
QuixiAI,29,126,1257.2068965517242
google,28,1820,33273.21428571428
allenai,26,299,46452.11538461538
facebook,26,312,287881.3076923077
llm-jp,25,159,1788.72
kyujinpy,25,45,809.48
maywell,25,102,796.4
Salesforce,24,204,21063.375
ajibawa-2023,23,57,604.0869565217391
inclusionAI,23,66,2914.391304347826
cgato,23,83,29.608695652173914
princeton-nlp,23,59,419.8695652173913
uukuguy,23,52,1412.9565217391305
mlx-community,22,39,82.5
stabilityai,21,105,3454.904761904762
NaoS2,21,21,0.7142857142857143
dphn,21,133,3442.5714285714284
ChenMnZ,21,21,5.142857142857143
jpacifico,21,125,24.666666666666668
automerger,19,85,6.842105263157895
01-ai,19,162,12733.894736842105
typhoon-ai,19,30,1208.842105263158
vicgalle,18,95,2949.0555555555557
beomi,18,203,734.5555555555555
athirdpath,18,47,240.72222222222223
liminerity,18,184,589.9444444444445
ChaoticNeutrals,17,66,36.588235294117645
Kukedlc,17,43,1594.9411764705883
T3Q-LLM,17,18,3.0588235294117645
aifeifei798,17,55,32.88235294117647
openbmb,16,80,5470.875
TroyDoesAI,16,25,7.25
DS-Archive,16,47,20.4375
TinyLlama,16,749,137784.1875
m-a-p,15,64,754.4666666666667
NickyNicky,15,33,55.333333333333336
zzttbrdd,15,39,1.3333333333333333
Sumail,15,21,0.5333333333333333
AmanPriyanshu,15,25,40.266666666666666
arcee-ai,15,117,806.0
SongTonyLi,14,16,2.142857142857143
Sayan01,14,14,0.5714285714285714
williamlcn,14,14,1.6428571428571428
jeiku,14,52,17.785714285714285
KnutJaegersberg,14,21,738.4285714285714
h2oai,14,98,2423.8571428571427
inceptionai,14,25,1426.9285714285713
icefog72,14,41,6.214285714285714
VAGOsolutions,14,137,2153.0714285714284
LeroyDyer,14,24,32.5
llmware,13,18,96.6923076923077
bigscience,13,112,126231.15384615384
magnifi,13,13,0.6923076923076923
komi77,13,13,0.5384615384615384
macadeliccc,13,54,172.76923076923077
fblgit,13,47,537.0
DavidAU,13,138,99.92307692307692
yuiseki,13,14,4.0
zenlm,13,34,150.84615384615384
OwenArli,13,43,6.384615384615385
Azazelle,13,23,737.3846153846154
Finisha-F-scratch,13,25,153.46153846153845
Alelcv27,13,146,3.076923076923077
tencent,13,101,59467.38461538462
MergeBench,12,13,66.5
rombodawg,12,31,1657.3333333333333
kakaocorp,12,161,1777.5833333333333
FPHam,12,35,248.75
CohereLabs,12,196,8085.0
bigcode,12,190,15936.416666666666
yam-peleg,12,184,654.9166666666666
davidkim205,12,32,737.1666666666666
failspy,12,113,4103.583333333333
codellama,12,294,33175.083333333336
GAI-LLM,12,13,4.166666666666667
TIGER-Lab,12,257,2187.1666666666665
pankajmathur,12,37,562.25
AIDC-AI,12,58,18475.583333333332
RefalMachine,11,55,17.636363636363637
KR-X-AI,11,27,1.7272727272727273
chihoonlee10,11,30,15.636363636363637
lgaalves,11,13,1037.5454545454545
Sorour,11,15,1.1818181818181819
Trelis,11,17,164.54545454545453
Gryphe,11,35,1208.7272727272727
PracticeLLM,11,18,76.36363636363636
Ba2han,11,19,214.0
Local-Novel-LLM-project,11,20,119.9090909090909
shleeeee,11,20,5.090909090909091
thelamapi,11,30,294.45454545454544
jan-hq,11,27,154.63636363636363
chargoddard,11,20,674.6363636363636
abacusai,10,86,3937.5
UCLA-AGI,10,98,4061.0
mlabonne,10,41,396.7
DopeorNope,10,18,336.8
dicta-il,10,42,1224.8
Shaleen123,10,13,13.0
TeeZee,10,34,84.4
FreedomIntelligence,10,13,336.9
BAAI,10,13,3935.4
kyutai,10,20,1735.7
heka-ai,10,10,3.1
maldv,10,23,26.2
amd,10,48,2784.1
alielfilali01,10,10,10.5
LeoLM,10,38,461.1
HelpingAI,10,26,218.7
AIdenU,10,14,5.9
SanjiWatsuki,10,164,713.5
WizardLMTeam,9,157,4124.777777777777
akshit-Gupta,9,9,2.6666666666666665
Eric111,9,14,156.88888888888889
dreamgen,9,26,344.77777777777777
hyeogi,9,20,5.111111111111111
IlyaGusev,9,79,44634.0
Ja-ck,9,12,3.7777777777777777
CorticalStack,9,42,114.55555555555556
garage-bAInd,9,31,889.7777777777778
Crystalcareai,9,15,2.2222222222222223
Weni,9,10,2.2222222222222223
Epiculous,9,90,138.0
nightmedia,9,9,6.777777777777778
ShenaoZ,9,9,0.5555555555555556
SillyTilly,9,12,18.555555555555557
TigerResearch,9,16,105.77777777777777
RLHFlow,9,19,524.4444444444445
AliMaatouk,9,10,71.11111111111111
Sao10K,9,398,768.0
pszemraj,9,13,288.77777777777777
Heralax,9,20,48.77777777777778
vilm,9,17,66.88888888888889
vihangd,9,59,605.6666666666666
