parent_a,parent_b,co_occurrence_count,family_a,family_b
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,280,LLaMA,LLaMA
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-v0.1,249,Mistral,Mistral
Nondzu/Mistral-7B-codealpaca-lora,TIGER-Lab/MAmmoTH2-7B,224,Mistral,Other
Nondzu/Mistral-7B-codealpaca-lora,mistralai/Mistral-7B-Instruct-v0.2,224,Mistral,Mistral
TIGER-Lab/MAmmoTH2-7B,mistralai/Mistral-7B-Instruct-v0.2,224,Other,Mistral
Nondzu/Mistral-7B-codealpaca-lora,mistralai/Mistral-7B-v0.1,223,Mistral,Mistral
TIGER-Lab/MAmmoTH2-7B,mistralai/Mistral-7B-v0.1,223,Other,Mistral
OpenPipe/mistral-ft-optimized-1218,mlabonne/NeuralHermes-2.5-Mistral-7B,109,Mistral,Mistral
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,SicariusSicariiStuff/Negative_LLAMA_70B,90,LLaMA,LLaMA
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,Sao10K/L3.1-70B-Hanami-x1,87,LLaMA,Other
SicariusSicariiStuff/Negative_LLAMA_70B,TheDrummer/Fallen-Llama-3.3-R1-70B-v1,84,LLaMA,LLaMA
SicariusSicariiStuff/Negative_LLAMA_70B,TheDrummer/Anubis-70B-v1,83,LLaMA,Other
NousResearch/Hermes-2-Pro-Mistral-7B,WizardLMTeam/WizardMath-7B-V1.1,79,Mistral,Other
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,TheDrummer/Anubis-70B-v1,78,LLaMA,Other
SicariusSicariiStuff/Negative_LLAMA_70B,nbeerbower/Llama-3.1-Nemotron-lorablated-70B,74,LLaMA,LLaMA
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,Sao10K/70B-L3.3-Cirrus-x1,70,LLaMA,Other
Sao10K/70B-L3.3-Cirrus-x1,Sao10K/L3.1-70B-Hanami-x1,68,Other,Other
Sao10K/L3.1-70B-Hanami-x1,SicariusSicariiStuff/Negative_LLAMA_70B,66,Other,LLaMA
BioMistral/BioMistral-7B,OdiaGenAI/mistral_hindi_7b_base_v1,66,Mistral,Mistral
Sao10K/L3-70B-Euryale-v2.1,SicariusSicariiStuff/Negative_LLAMA_70B,58,Other,LLaMA
Sao10K/70B-L3.3-Cirrus-x1,SicariusSicariiStuff/Negative_LLAMA_70B,57,Other,LLaMA
Sao10K/L3.3-70B-Euryale-v2.3,SicariusSicariiStuff/Negative_LLAMA_70B,57,Other,LLaMA
AurelPx/Percival_01-7b-slerp,liminerity/M7-7b,57,Other,Other
Sao10K/70B-L3.3-Cirrus-x1,TheDrummer/Anubis-70B-v1,55,Other,Other
SicariusSicariiStuff/Negative_LLAMA_70B,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,53,LLaMA,LLaMA
LatitudeGames/Wayfarer-Large-70B-Llama-3.3,SicariusSicariiStuff/Negative_LLAMA_70B,51,LLaMA,LLaMA
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,49,Qwen,Qwen
SicariusSicariiStuff/Negative_LLAMA_70B,huihui-ai/Llama-3.3-70B-Instruct-abliterated,48,LLaMA,LLaMA
Sao10K/L3-70B-Euryale-v2.1,TheDrummer/Fallen-Llama-3.3-R1-70B-v1,48,Other,LLaMA
Sao10K/L3-70B-Euryale-v2.1,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,48,Other,LLaMA
Equall/Saul-7B-Base,HuggingFaceH4/zephyr-7b-beta,46,Other,Other
appvoid/palmer-003,raidhon/coven_tiny_1.1b_32k_orpo_alpha,45,Other,Other
appvoid/palmer-003,vihangd/DopeyTinyLlama-1.1B-v1,45,Other,LLaMA
elyza/Llama-3-ELYZA-JP-8B,meta-llama/Meta-Llama-3-8B-Instruct,44,LLaMA,LLaMA
GAIR/SR-Scientist-30B,YOYO-AI/Qwen3-30B-A3B-YOYO-V4,43,Other,Qwen
Sao10K/L3.1-70B-Hanami-x1,TheDrummer/Anubis-70B-v1,43,Other,Other
NousResearch/nomos-1,YOYO-AI/Qwen3-30B-A3B-YOYO-V2,42,Other,Qwen
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B-Instruct,42,Qwen,Qwen
YOYO-AI/Qwen3-30B-A3B-YOYO-V2,YOYO-AI/Qwen3-30B-A3B-YOYO-V4,41,Qwen,Qwen
Sao10K/L3.1-70B-Hanami-x1,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,41,Other,LLaMA
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-7B-Instruct,41,Qwen,Qwen
Cognitive-Lab/LLama3-Gaja-Hindi-8B-v0.1,johnsnowlabs/JSL-MedLlama-3-8B-v2.0,41,LLaMA,LLaMA
GAIR/SR-Scientist-30B,NousResearch/nomos-1,40,Other,Other
GAIR/SR-Scientist-30B,YOYO-AI/Qwen3-30B-A3B-YOYO-V2,40,Other,Qwen
NousResearch/nomos-1,YOYO-AI/Qwen3-30B-A3B-YOYO-V4,40,Other,Qwen
EVA-UNIT-01/EVA-LLaMA-3.33-70B-v0.1,Sao10K/L3.3-70B-Euryale-v2.3,39,LLaMA,Other
YOYO-AI/Qwen3-30B-A3B-YOYO-V2,miromind-ai/MiroThinker-v1.0-30B,39,Qwen,Other
YOYO-AI/Qwen3-30B-A3B-YOYO-V4,miromind-ai/MiroThinker-v1.0-30B,39,Qwen,Other
mlabonne/Hermes-3-Llama-3.1-70B-lorablated,nbeerbower/Llama-3.1-Nemotron-lorablated-70B,39,LLaMA,LLaMA
NousResearch/Hermes-2-Pro-Mistral-7B,WizardLM/WizardMath-7B-V1.1,39,Mistral,Other
